"Is.Non.Annual.","Days","Tuition","School.Type","Parent.Meeting.Flag","MDR.High.Grade","Income.Level","School.Sponsor","SPR.New.Existing","NumberOfMeetingswithParents","DifferenceTraveltoLastMeeting","SchoolGradeTypeHigh","FPP.to.School.enrollment","FPP.to.PAX","SchoolSizeIndicator","Retained.in.2012.","frp.active","cancellation","cancelled.PAX","fpp","trend"
0,3,1361,"PUBLIC",1,8,"B",0,"NEW",2,133,"Middle",0.005780347,0.8,"M-L",0,0.5,0.5,0.25,"small","0"
0,3,1356,"PUBLIC",1,8,"C",0,"NEW",2,271,"Middle",0.030120482,0.833333333,"S",0,0.7,0.571428571428571,0.5,"small","0"
0,3,782,"Private non-Christian",0,8,"Q",0,"EXISTING",0,211,"Undefined",0.133333333,0.909090909,"S",1,0,NA,0.1,"large","0"
0,3,1459,"PUBLIC",1,6,"N",0,"NEW",1,224,"Middle",0.008090615,0.833333333,"M-L",0,1,0,0.2,"small","0"
0,4,1284,"PUBLIC",1,8,"M",0,"EXISTING",1,271,"Middle",0.095238095,0.925925926,"S-M",1,0.74,0.189189189189189,0.18,"large","0"
0,4,1596,"PUBLIC",0,8,"Q",0,"EXISTING",0,262,"Middle",0.019047619,0.857142857,"M-L",1,0.833333333333333,0.5,0.416666666666667,"critical","0"
0,5,2101,"PUBLIC",1,8,"N",0,"EXISTING",1,181,"Middle",0.012757605,0.928571429,"L",0,0.923076923076923,0.0833333333333333,0.0769230769230769,"critical","0"
0,4,779,"PUBLIC",1,8,"O",0,"EXISTING",1,244,"Middle",0.06,0.888888889,"S-M",1,0.791666666666667,0.210526315789474,0.25,"safe","1"
0,4,1559,"PUBLIC",1,9,"F",0,"NEW",1,273,"Middle",0.009978617,0.933333333,"L",1,0.785714285714286,0.0909090909090909,0.214285714285714,"critical","0"
0,4,1521,"PUBLIC",1,8,"D",0,"EXISTING",1,259,"Middle",0.038823529,0.942857143,"L",1,0.818181818181818,0.185185185185185,0.121212121212121,"safe","0"
0,4,1634,"PUBLIC",1,8,"L",0,"EXISTING",1,266,"Middle",0.010590015,0.875,"M-L",1,0.571428571428571,1,1,"small","0"
0,4,1487,"PUBLIC",1,8,"O",0,"EXISTING",1,259,"Middle",0.04494382,0.888888889,"S-M",1,0.625,0.1,0.0625,"critical","1"
0,4,1248,"PUBLIC",0,8,"I",0,"EXISTING",0,214,"Middle",0.092402464,0.882352941,"S-M",1,0.555555555555556,0,0.0222222222222222,"large","1"
0,4,1806,"PUBLIC",1,12,"F",0,"NEW",2,287,"Undefined",0.006382979,0.75,"S-M",0,1,1.66666666666667,1.66666666666667,"small","0"
0,4,1248,"PUBLIC",1,8,"I",0,"EXISTING",1,257,"Middle",0.07505071,0.902439024,"S-M",1,0.648648648648649,0.0416666666666667,0.027027027027027,"large","0"
0,4,1448,"PUBLIC",1,8,"J",0,"EXISTING",2,266,"Middle",0.027859238,0.904761905,"M-L",1,0.842105263157895,0.1875,0.210526315789474,"critical","0"
0,4,1511,"PUBLIC",1,12,"N",0,"NEW",1,385,"High",0.017741935,0.916666667,"M-L",0,0.909090909090909,0,0,"critical","0"
1,3,660,"PUBLIC",1,12,"Z",0,"NEW",1,194,"High",0.111627907,0.941176471,"S-M",0,0.479166666666667,0.521739130434783,0.229166666666667,"large","0"
0,4,1599,"PUBLIC",1,8,"F",0,"EXISTING",2,273,"Middle",0.010416667,0.714285714,"S-M",1,0.6,1.33333333333333,0.8,"small","0"
1,4,1623,"PUBLIC",1,8,"C",0,"NEW",1,259,"Middle",0.02962963,0.857142857,"S-M",0,0.916666666666667,0.272727272727273,0.333333333333333,"critical","0"
0,4,1671,"PUBLIC",1,8,"O",0,"NEW",2,273,"Middle",0.019047619,0.903225806,"L",1,0.714285714285714,0.15,0.107142857142857,"safe","0"
0,4,1432,"PUBLIC",1,8,"L",0,"EXISTING",2,257,"Middle",0.013274336,0.923076923,"L",0,0.75,0.888888888888889,0.75,"critical","0"
0,4,1786,"PUBLIC",1,8,"B",0,"EXISTING",1,280,"Middle",0.02484472,0.923076923,"S-M",1,0.666666666666667,0,0,"critical","0"
0,4,1999,"PUBLIC",1,12,"Q",0,"NEW",1,252,"High",0.009333333,0.933333333,"L",0,0.714285714285714,0,0,"safe","0"
0,4,779,"PUBLIC",1,8,"O",0,"EXISTING",1,244,"Middle",0.008955224,1,"S",0,1,0,0.333333333333333,"small","0"
0,4,779,"PUBLIC",1,8,"O",0,"EXISTING",1,244,"Middle",0.022857143,1,"S",0,0.25,6,0,"small","0"
0,4,779,"PUBLIC",1,8,"N",0,"EXISTING",1,244,"Middle",0.068965517,0.888888889,"S-M",0,0.5,0.0833333333333333,0.0833333333333333,"safe","0"
1,4,1499,"PUBLIC",1,7,"H",0,"EXISTING",2,274,"Middle",0.055813953,0.96,"S-M",0,0.541666666666667,0.0769230769230769,0.125,"safe","0"
0,5,1856,"Catholic",1,8,"N",0,"EXISTING",2,303,"Middle",0.056022409,0.909090909,"S-M",1,0.5,0.7,0.35,"critical","0"
0,4,1596,"PUBLIC",1,8,"M",0,"EXISTING",1,286,"Middle",0.064,0.941176471,"M-L",1,0.75,0.194444444444444,0.145833333333333,"large","1"
0,4,1318,"PUBLIC",1,8,"L",0,"NEW",2,238,"Middle",0.022580645,0.933333333,"M-L",0,0.571428571428571,0,0.0714285714285714,"critical","0"
0,4,1600,"PUBLIC",1,8,"L",0,"NEW",2,271,"Middle",0.018759019,0.928571429,"M-L",0,1,0.230769230769231,0.384615384615385,"critical","0"
0,4,2074,"PUBLIC",1,12,"L",0,"NEW",1,260,"High",0.008988764,0.888888889,"L",0,0.875,0.428571428571429,0.25,"small","0"
1,4,2184,"PUBLIC",1,12,"I",0,"NEW",2,232,"High",0.033333333,0.909090909,"S",0,0.9,0,0.1,"small","0"
0,4,1476,"CHD",0,12,"L",0,"EXISTING",0,216,"High",0.024,0.857142857,"S",0,0.166666666666667,0,0,"small","1"
0,4,1584,"PUBLIC",1,8,"F",0,"EXISTING",1,82,"Middle",0.023026316,0.875,"S",1,0.857142857142857,0,0.142857142857143,"small","0"
0,4,1722,"PUBLIC",1,6,"J",0,"EXISTING",1,250,"Middle",0.007662835,0.857142857,"M-L",1,0.5,1,0.5,"small","0"
0,4,1552,"PUBLIC",1,8,"J",0,"NEW",1,266,"Middle",0.025882353,0.916666667,"S-M",0,0.818181818181818,0,0.0909090909090909,"critical","0"
0,4,1879,"Catholic",0,8,"Q",0,"EXISTING",0,247,"Middle",0.068571429,0.923076923,"S-M",1,0.625,0.333333333333333,0.375,"safe","0"
0,5,812,"PUBLIC",1,8,"M",0,"EXISTING",1,155,"Middle",0.112951807,0.9375,"M-L",1,0.453333333333333,0.147058823529412,0.106666666666667,"large","0"
1,5,2043,"CHD",1,12,"C",0,"NEW",1,322,"High",0.077151335,0.928571429,"S",0,0.576923076923077,0.666666666666667,0.230769230769231,"safe","0"
0,4,1286,"PUBLIC",1,8,"N",0,"EXISTING",1,272,"Middle",0.045248869,0.952380952,"S-M",1,0.6,0,0.1,"critical","0"
0,4,1552,"PUBLIC",1,8,"O",0,"NEW",1,264,"Middle",0.011083744,0.9,"L",1,0.777777777777778,0.285714285714286,0.333333333333333,"small","0"
0,4,1411,"CHD",0,8,"",0,"NEW",0,280,"Middle",0.055319149,0.914285714,"",1,0.71875,0.130434782608696,0.125,"safe","0"
0,4,1728,"PUBLIC",1,6,"H",0,"NEW",2,194,"Middle",0.015768725,0.923076923,"M-L",1,0.583333333333333,0.142857142857143,0.166666666666667,"critical","0"
0,4,1359,"PUBLIC",1,8,"I",0,"NEW",1,229,"Middle",0.0375,0.954545455,"S-M",0,0.857142857142857,0.0555555555555556,0.0952380952380952,"safe","0"
0,4,2000,"PUBLIC",1,12,"Z",0,"NEW",1,222,"High",0.02130898,0.933333333,"M-L",0,0.785714285714286,0.272727272727273,0.571428571428571,"critical","0"
0,4,1658,"PUBLIC",1,8,"E",0,"NEW",1,217,"Middle",0.025806452,0.888888889,"S",0,0.875,0.142857142857143,0.125,"small","0"
0,4,1474,"PUBLIC",1,8,"M",0,"EXISTING",1,209,"Middle",0.015,0.857142857,"S-M",1,0.666666666666667,0.25,0.166666666666667,"small","0"
1,5,1799,"PUBLIC",1,12,"Z",0,"EXISTING",1,242,"Middle",0.022857143,0.75,"S-M",0,1,0.833333333333333,1,"critical","0"
0,5,1774,"PUBLIC",1,8,"K",0,"NEW",1,188,"Undefined",0.04,0.875,"S",1,0.714285714285714,0.4,0.285714285714286,"small","0"
1,5,2049,"PUBLIC",1,8,"P",0,"EXISTING",1,180,"Middle",0.005434783,0.833333333,"L",0,0.8,0.25,0,"small","0"
1,5,1970,"Catholic",1,8,"M",0,"NEW",2,273,"Middle",0.047619048,0.928571429,"S",0,0.230769230769231,0.666666666666667,0.307692307692308,"critical","0"
1,5,2232,"PUBLIC",1,8,"M",0,"NEW",2,264,"Middle",0.032822757,0.9375,"L",0,0.6,0.222222222222222,0.3,"safe","0"
0,5,2307,"PUBLIC",1,8,"C",0,"NEW",2,278,"High",0.026315789,0.833333333,"S",0,0.6,1.33333333333333,1.4,"small","0"
1,5,1999,"Catholic",1,8,"P",0,"EXISTING",1,279,"Middle",0.075829384,0.941176471,"S",0,0.8125,0.230769230769231,0.1875,"critical","0"
0,5,1268,"PUBLIC",0,8,"L",0,"EXISTING",0,184,"Middle",0.0592,0.948717949,"M-L",1,0.72972972972973,0.148148148148148,0.108108108108108,"large","0"
0,5,1600,"Catholic",1,8,"P",0,"EXISTING",1,259,"Middle",0.094043887,0.9375,"M-L",1,0.616666666666667,0.216216216216216,0.133333333333333,"large","0"
0,5,2021,"PUBLIC",1,8,"L",0,"EXISTING",1,274,"Middle",0.030674847,0.909090909,"S",1,0.5,0,0,"small","0"
0,5,1888,"PUBLIC",1,8,"B",0,"NEW",1,651,"Middle",0.0375,0.833333333,"S-M",0,0.533333333333333,3.25,2.26666666666667,"critical","0"
0,5,1707,"PUBLIC",1,8,"B",0,"EXISTING",1,266,"Middle",0.020449898,0.909090909,"S-M",0,0.6,0.666666666666667,1,"small","0"
0,5,1889,"PUBLIC",1,8,"J",0,"NEW",1,286,"Middle",0.025586354,0.923076923,"S-M",1,0.416666666666667,1.8,0.75,"critical","0"
0,5,2294,"PUBLIC",0,8,"Q",0,"EXISTING",0,190,"Middle",0.007805724,0.9,"L",1,0.666666666666667,0,0,"small","0"
1,5,2077,"PUBLIC",1,5,"H",0,"EXISTING",2,280,"Middle",0.022222222,0.833333333,"S-M",0,0.1,5,0.5,"small","0"
1,5,2392,"PUBLIC",1,6,"O",0,"EXISTING",2,278,"Middle",0.019834711,0.923076923,"M-L",0,0.75,0.111111111111111,0.0833333333333333,"critical","0"
0,5,2028,"PUBLIC",1,8,"E",0,"NEW",1,272,"Middle",0.007496252,0.833333333,"M-L",0,0.4,3,4.4,"small","0"
0,5,2007,"PUBLIC",0,8,"E",0,"NEW",0,419,"Middle",0.00625,0.833333333,"M-L",0,0.6,0.666666666666667,1,"small","0"
0,5,2619,"PUBLIC",1,12,"K",0,"NEW",1,273,"High",0.011133603,0.846153846,"L",0,0.727272727272727,0.125,0.272727272727273,"critical","0"
0,5,1998,"PUBLIC",1,8,"G",0,"NEW",1,278,"Middle",0.025,0.833333333,"S",0,0.4,1.5,0.8,"small","0"
0,5,1998,"PUBLIC",1,8,"D",0,"EXISTING",1,259,"Middle",0.009493671,0.75,"S",0,1,0,0,"small","0"
0,5,2074,"PUBLIC",1,8,"J",0,"NEW",2,250,"Middle",0.006666667,0.8,"L",1,0.625,0.2,0.125,"small","0"
0,5,2537,"Catholic",1,8,"F",0,"NEW",1,238,"Middle",0.042372881,0.833333333,"S",0,0.6,0,0,"small","0"
0,5,2074,"PUBLIC",1,8,"H",0,"NEW",1,245,"Middle",0.006586169,0.857142857,"L",0,0.5,0.666666666666667,0.5,"small","0"
0,5,2088,"PUBLIC",1,8,"M",0,"NEW",1,187,"Middle",0.017241379,0.933333333,"L",0,0.428571428571429,0.166666666666667,0.142857142857143,"critical","0"
0,6,2311,"PUBLIC",1,8,"Q",0,"EXISTING",1,256,"Middle",0.058024691,0.921568627,"M-L",1,0.723404255319149,0.117647058823529,0.0851063829787234,"large","0"
0,6,2199,"PUBLIC",1,8,"Q",0,"EXISTING",1,259,"Middle",0.04109589,0.9,"M-L",1,0.666666666666667,0.222222222222222,0.222222222222222,"safe","0"
0,6,993,"PUBLIC",1,8,"J",0,"EXISTING",1,273,"Middle",0.100694444,0.935483871,"S",1,0.827586206896552,0.0833333333333333,0.241379310344828,"safe","0"
0,11,4199,"Catholic",0,12,"N",0,"NEW",0,391,"Undefined",0.023041475,0.833333333,"M-L",0,0.0666666666666667,0,0.2,"critical","0"
0,3,1368,"PUBLIC",1,8,"P",0,"EXISTING",2,191,"Middle",0.012629162,0.846153846,"L",0,0.636363636363636,0.857142857142857,0.363636363636364,"critical","0"
0,3,1140,"PUBLIC",1,8,"O",0,"EXISTING",1,274,"Middle",0.012738854,0.888888889,"M-L",1,0.75,0.166666666666667,0.125,"small","0"
1,3,1246,"PUBLIC",1,8,"L",0,"EXISTING",1,273,"Middle",0.053333333,0.888888889,"S",0,0.875,0.357142857142857,0.3125,"critical","0"
0,3,1245,"PUBLIC",1,8,"L",0,"EXISTING",1,268,"Middle",0.053763441,0.961538462,"S-M",1,0.64,0.125,0.08,"safe","0"
0,3,794,"CHD",1,12,"J",0,"NEW",1,403,"Undefined",0.047058824,0.888888889,"S",0,0.125,0,0.125,"small","0"
0,3,1140,"PUBLIC",1,8,"O",0,"EXISTING",2,212,"Undefined",0.015698587,0.909090909,"M-L",1,0.5,0.2,0.2,"small","0"
0,5,2049,"PUBLIC",1,8,"E",0,"NEW",1,173,"Middle",0.013636364,0.857142857,"L",1,0.666666666666667,1.875,1.66666666666667,"critical","0"
0,3,848,"PUBLIC",0,5,"P",0,"NEW",0,145,"Elementary",0.023715415,0.947368421,"M-L",1,0.833333333333333,0.133333333333333,0.222222222222222,"critical","0"
0,4,1372,"PUBLIC",1,8,"P1",0,"EXISTING",2,266,"Middle",0.092857143,0.902777778,"M-L",1,0.8,0.0576923076923077,0.0461538461538462,"large","0"
0,4,1383,"PUBLIC",1,8,"L",0,"EXISTING",1,253,"Middle",0.014326648,0.909090909,"M-L",1,0.6,0.166666666666667,0.2,"small","0"
0,4,1678,"PUBLIC",1,8,"J",0,"EXISTING",2,265,"Middle",0.009174312,0.888888889,"L",1,0.625,0,0,"small","0"
0,4,1925,"PUBLIC",0,8,"G",0,"EXISTING",0,180,"Middle",0.027027027,0.909090909,"S-M",1,0.7,0.142857142857143,0.6,"small","0"
1,5,1998,"PUBLIC",1,8,"G",0,"NEW",1,259,"High",0.134146341,0.916666667,"S",0,0.545454545454545,1.33333333333333,0.818181818181818,"critical","0"
0,3,831,"PUBLIC",1,9,"O",0,"EXISTING",1,268,"Middle",0.053125,0.931506849,"L",1,0.426470588235294,0.103448275862069,0.0735294117647059,"large","0"
1,5,2529,"PUBLIC",0,8,"P",0,"NEW",0,280,"Middle",0.044444444,0.727272727,"S",0,0.625,0,0,"small","0"
0,5,1521,"PUBLIC",1,8,"N",0,"NEW",2,246,"Middle",0.197115385,0.854166667,"S",1,0.439024390243902,0.111111111111111,0.170731707317073,"large","0"
0,5,2061,"PUBLIC",1,5,"M",0,"EXISTING",1,265,"Elementary",0.020833333,0.818181818,"S-M",1,0.444444444444444,0.25,0.222222222222222,"small","1"
0,6,890,"PUBLIC",1,8,"J",0,"NEW",1,299,"Middle",0.168888889,0.904761905,"S",1,0.710526315789474,0.111111111111111,0.131578947368421,"large","0"
0,5,449,"CHD",1,12,"A",0,"NEW",1,274,"High",0.209459459,0.939393939,"S",0,0.483870967741935,0.333333333333333,0.258064516129032,"safe","0"
1,6,2260,"CHD",1,6,"A",0,"EXISTING",1,275,"Middle",0.100558659,0.9,"S",0,0.333333333333333,0,0,"critical","0"
0,5,2426,"PUBLIC",1,8,"",0,"EXISTING",1,258,"High",0.030136986,0.928571429,"",0,0.615384615384615,0.375,0.384615384615385,"critical","0"
0,6,1985,"PUBLIC",1,8,"J",0,"NEW",2,279,"High",0.034178611,0.939393939,"L",0,0.419354838709677,1.15384615384615,0.741935483870968,"safe","1"
0,6,1173,"PUBLIC",1,8,"G",0,"EXISTING",2,267,"Middle",0.055873926,0.906976744,"M-L",1,0.128205128205128,0.6,0.128205128205128,"large","0"
0,7,2469,"PUBLIC",1,8,"F",0,"NEW",1,272,"High",0.043333333,0.928571429,"S",0,0.692307692307692,0.111111111111111,0.230769230769231,"critical","0"
0,1,385,"PUBLIC",1,5,"Q",1,"EXISTING",1,259,"Elementary",0.215873016,0.964539007,"M-L",1,0.551470588235294,0.0666666666666667,0.0367647058823529,"large","0"
0,3,1080,"PUBLIC",1,8,"L",0,"EXISTING",1,267,"Middle",0.082981716,0.936507937,"M-L",1,0.661016949152542,0.153846153846154,0.0847457627118644,"large","0"
0,3,369,"PUBLIC",0,7,"P3",0,"NEW",0,267,"Middle",0.185714286,0.928571429,"S",0,0.41025641025641,0.625,0.307692307692308,"large","0"
0,4,1656,"PUBLIC",1,8,"B",0,"NEW",1,238,"Middle",0.031372549,0.888888889,"S-M",1,0.875,0.0714285714285714,0.3125,"critical","0"
1,11,3479,"CHD",1,12,"J",1,"EXISTING",1,187,"Middle",0.063333333,0.904761905,"M-L",1,0.842105263157895,0.03125,0.0263157894736842,"large","1"
1,5,1781,"PUBLIC",1,8,"M",0,"EXISTING",2,274,"Middle",0.014788732,0.913043478,"L",0,0.619047619047619,0.307692307692308,0.19047619047619,"safe","0"
0,5,2362,"PUBLIC",1,8,"E",0,"EXISTING",1,259,"Middle",0.01875,0.923076923,"M-L",0,0.75,0.444444444444444,0.416666666666667,"critical","1"
0,5,2278,"PUBLIC",1,6,"K",0,"EXISTING",1,280,"Middle",0.00877193,0.666666667,"S-M",1,0.25,2,1.25,"small","0"
1,5,1988,"PUBLIC",1,8,"Q",0,"EXISTING",1,255,"High",0.007393715,0.888888889,"L",0,0.375,0,0,"small","0"
0,5,1929,"PUBLIC",1,8,"K",0,"NEW",2,275,"Middle",0.0221843,0.928571429,"M-L",1,0.461538461538462,0.5,0.538461538461538,"critical","0"
0,5,1757,"PUBLIC",1,8,"I",0,"EXISTING",2,289,"Middle",0.022068966,0.888888889,"M-L",1,0.5,0.25,0.25,"critical","0"
0,5,2050,"PUBLIC",1,8,"M",0,"EXISTING",2,266,"Middle",0.012033694,0.833333333,"L",1,0.9,1,0.9,"small","0"
1,5,1821,"CHD",1,8,"N",0,"EXISTING",1,275,"Middle",0.073643411,0.926829268,"S-M",0,0.710526315789474,0.111111111111111,0.0789473684210526,"large","0"
0,5,1839,"PUBLIC",1,8,"E",0,"EXISTING",1,287,"Middle",0.017770598,0.916666667,"M-L",1,0.636363636363636,0.285714285714286,0.545454545454545,"critical","0"
0,5,1839,"PUBLIC",1,8,"F",0,"EXISTING",1,287,"Middle",0.010494753,0.875,"M-L",1,0.285714285714286,2,0.714285714285714,"small","0"
0,3,439,"PUBLIC",1,8,"L",0,"NEW",1,183,"Middle",0.133168927,0.915254237,"M-L",0,0.472222222222222,0.176470588235294,0.12037037037037,"large","0"
1,5,2074,"PUBLIC",1,8,"M",0,"NEW",1,281,"Middle",0.011037528,0.833333333,"S-M",0,0.4,1.5,1,"small","0"
0,5,1914,"PUBLIC",1,8,"E",0,"NEW",1,247,"Middle",0.009983361,0.857142857,"M-L",0,0.5,0,0.166666666666667,"small","0"
0,6,1659,"CHD",0,8,"",0,"NEW",0,193,"Undefined",0.278154681,1,"",0,0,NA,0.0196078431372549,"large","0"
0,3,1747,"PUBLIC",1,8,"O",0,"EXISTING",1,269,"Middle",0.018495684,0.9375,"M-L",1,0.666666666666667,0.4,0.666666666666667,"critical","1"
0,5,867,"PUBLIC",1,8,"I",0,"EXISTING",2,30,"Middle",0.084,0.954545455,"S-M",1,0.642857142857143,0.148148148148148,0.166666666666667,"large","1"
0,4,729,"PUBLIC",0,8,"I",0,"EXISTING",0,204,"Middle",0.065,0.928571429,"S-M",1,0.615384615384615,0.25,0.192307692307692,"safe","0"
0,5,457,"PUBLIC",1,12,"J",0,"EXISTING",1,262,"Middle",0.086560364,0.95,"S-M",1,0.631578947368421,0.0833333333333333,0.0789473684210526,"large","0"
0,5,1988,"PUBLIC",1,8,"P",0,"EXISTING",2,268,"Middle",0.020391517,0.925925926,"L",1,0.56,0,0.04,"safe","0"
0,5,1918,"PUBLIC",1,8,"F",0,"NEW",1,241,"Middle",0.03649635,0.909090909,"S-M",0,0.2,0.75,0.5,"critical","0"
0,5,2397,"PUBLIC",1,8,"P",0,"EXISTING",1,263,"Middle",0.019230769,0.928571429,"M-L",1,0.692307692307692,0.111111111111111,0.230769230769231,"critical","0"
1,4,1573,"Catholic",1,8,"Q",0,"NEW",2,154,"Middle",0.103603604,0.92,"S",0,0.869565217391304,0.25,0.217391304347826,"safe","0"
0,7,2867,"PUBLIC",1,8,"P",0,"EXISTING",1,247,"Undefined",0.068965517,0.857142857,"L",1,0.696969696969697,0.41304347826087,0.272727272727273,"large","0"
0,7,2622,"CHD",1,12,"G",0,"EXISTING",1,260,"Middle",0.021875,0.875,"S",1,0.571428571428571,1,0.571428571428571,"small","1"
0,7,2622,"CHD",1,8,"J",0,"EXISTING",1,288,"Middle",0.147286822,0.95,"S",1,0.368421052631579,0.571428571428571,0.157894736842105,"critical","0"
0,7,2399,"Catholic",1,8,"Q",0,"EXISTING",1,267,"Middle",0.058295964,0.928571429,"S",1,0.846153846153846,0.272727272727273,0.230769230769231,"critical","0"
0,6,2150,"PUBLIC",0,12,"",0,"EXISTING",0,274,"High",0.123404255,1,"",0,0,NA,0.0625,"safe","0"
0,4,1768,"PUBLIC",0,12,"G",1,"NEW",0,190,"High",0.008888889,0.8,"S-M",0,0.75,0,0.5,"small","0"
0,4,1632,"PUBLIC",1,5,"I",0,"EXISTING",2,263,"Middle",0.00330033,0.666666667,"M-L",0,0.5,4,2,"small","0"
0,4,1811,"PUBLIC",1,8,"F",0,"NEW",1,235,"Middle",0.021857923,0.888888889,"S-M",1,0.25,2,0.375,"small","0"
0,5,2133,"PUBLIC",1,8,"Q",0,"EXISTING",1,255,"Middle",0.052830189,0.933333333,"L",1,0.714285714285714,0.1,0.160714285714286,"large","0"
0,5,1595,"PUBLIC",1,9,"J",0,"EXISTING",1,269,"Middle",0.052708638,0.87804878,"M-L",1,0.666666666666667,0.416666666666667,0.361111111111111,"large","0"
1,5,1982,"PUBLIC",1,8,"L",0,"EXISTING",1,183,"Middle",0.038338658,0.923076923,"S",1,0.666666666666667,0,0,"critical","0"
0,5,2269,"CHD",0,8,"P",0,"EXISTING",0,161,"Middle",0.025104603,0.878787879,"",1,0.586206896551724,0.235294117647059,0.172413793103448,"safe","0"
0,5,2049,"PUBLIC",1,8,"I",0,"EXISTING",2,260,"Middle",0.00990099,0.833333333,"S-M",1,0.4,0,0.4,"small","0"
1,5,2005,"PUBLIC",1,8,"J",0,"NEW",2,263,"Middle",0.018617021,0.933333333,"M-L",0,0.571428571428571,0.625,0.428571428571429,"critical","1"
0,5,2074,"PUBLIC",1,8,"J",0,"NEW",1,233,"Middle",0.010752688,0.833333333,"S-M",0,1,0.4,0.8,"small","0"
0,5,2017,"PUBLIC",1,12,"I",0,"NEW",1,395,"High",0.084033613,0.909090909,"S",0,0.3,0,0,"small","0"
0,5,2255,"PUBLIC",1,12,"J",0,"NEW",1,257,"High",0.012779553,0.8,"S",0,0.25,4,1.25,"small","0"
0,5,2224,"PUBLIC",1,8,"J",0,"NEW",2,282,"Middle",0.186666667,0.933333333,"S",0,0.714285714285714,0,0,"critical","0"
1,5,1979,"PUBLIC",1,12,"M",0,"EXISTING",2,261,"Middle",0.035,0.875,"S",0,0.857142857142857,0,0,"small","0"
0,5,2184,"PUBLIC",1,8,"E",0,"EXISTING",1,282,"Middle",0.015555556,0.875,"S-M",0,0.571428571428571,0,0.142857142857143,"small","0"
0,5,1950,"PUBLIC",1,8,"H",0,"NEW",1,247,"Middle",0.00862069,0.8,"S-M",0,0.75,0.333333333333333,0.25,"small","0"
1,7,2785,"PUBLIC",1,12,"P",0,"EXISTING",2,139,"High",0.012404017,0.913043478,"L",1,0.619047619047619,0.153846153846154,0.0952380952380952,"safe","0"
0,5,2075,"PUBLIC",1,8,"O",0,"EXISTING",2,183,"Middle",0.002,0.666666667,"L",0,0.5,3,2,"small","0"
0,6,2424,"PUBLIC",1,8,"I",0,"EXISTING",1,270,"Middle",0.045045045,0.952380952,"S-M",1,0.6,0,0,"critical","1"
0,6,2099,"PUBLIC",1,8,"N",0,"EXISTING",1,255,"Middle",0.012666667,0.863636364,"L",1,0.526315789473684,0.4,0.210526315789474,"critical","1"
0,6,2049,"PUBLIC",1,8,"P",0,"EXISTING",1,269,"Middle",0.034951456,0.87804878,"L",1,0.5,0.166666666666667,0.138888888888889,"large","0"
0,5,2110,"PUBLIC",1,8,"M",0,"NEW",1,256,"High",0.010090817,0.909090909,"L",0,0.8,0,0.1,"small","1"
0,6,2542,"PUBLIC",1,8,"G",0,"EXISTING",2,226,"Middle",0.011320755,0.666666667,"S-M",0,0.666666666666667,0.25,0.166666666666667,"small","1"
0,7,2485,"PUBLIC",1,8,"N",0,"EXISTING",1,296,"Middle",0.122222222,0.901639344,"S-M",1,0.272727272727273,0.333333333333333,0.127272727272727,"large","0"
0,6,2544,"PUBLIC",1,8,"J",0,"EXISTING",1,73,"Middle",0.027153558,0.935483871,"L",1,0.448275862068966,0.461538461538462,0.206896551724138,"safe","1"
0,8,2718,"CHD",1,8,"",0,"EXISTING",2,262,"Middle",0.022352941,0.891304348,"",1,0.670731707317073,0.236363636363636,0.158536585365854,"large","0"
0,8,2398,"PUBLIC",1,5,"J",0,"EXISTING",2,214,"Elementary",0.050808314,0.916666667,"S-M",1,0.227272727272727,0.2,0.0909090909090909,"safe","0"
0,8,2621,"PUBLIC",1,8,"H",0,"EXISTING",1,277,"Middle",0.05248227,0.925,"M-L",1,0.486486486486487,0.722222222222222,0.513513513513513,"large","1"
0,5,479,"PUBLIC",1,8,"K",0,"NEW",1,176,"Middle",0.075144509,0.945454545,"M-L",1,0.615384615384615,0.0625,0.134615384615385,"large","0"
0,9,2976,"CHD",1,12,"E",1,"EXISTING",1,276,"High",0.061904762,0.928571429,"S-M",0,0.730769230769231,0.684210526315789,0.615384615384615,"safe","0"
1,5,1993,"PUBLIC",1,8,"N",0,"EXISTING",1,195,"Middle",0.018065887,0.894736842,"L",0,0.647058823529412,0.272727272727273,0.176470588235294,"critical","0"
0,5,2120,"PUBLIC",0,8,"Q",0,"EXISTING",0,183,"Middle",0.0075,0.75,"M-L",0,0.833333333333333,0.6,0.666666666666667,"small","0"
0,5,2002,"PUBLIC",1,8,"J",0,"EXISTING",1,262,"Middle",0.007238883,0.875,"L",0,0.857142857142857,0.166666666666667,0.285714285714286,"small","0"
0,5,1990,"PUBLIC",1,8,"G",0,"EXISTING",2,255,"Middle",0.029045643,0.913043478,"M-L",1,0.714285714285714,0.2,0.19047619047619,"safe","1"
1,5,1992,"PUBLIC",1,8,"F",0,"NEW",2,256,"Middle",0.009933775,0.75,"S",0,1,1,2,"small","0"
0,5,1999,"PUBLIC",1,8,"N",0,"NEW",1,269,"High",0.057142857,0.909090909,"S-M",0,0.6,0.416666666666667,0.25,"critical","0"
0,5,1699,"PUBLIC",1,12,"K",0,"EXISTING",1,298,"Middle",0.033333333,0.894736842,"S-M",1,0.117647058823529,0,0,"critical","0"
0,5,1788,"PUBLIC",1,8,"M",0,"EXISTING",1,262,"Middle",0.037974684,0.870967742,"M-L",1,0.518518518518518,0.214285714285714,0.111111111111111,"safe","0"
